Protein,CBX1_average,CBX3_average,CBX5_average,CBX7_average,CBX8_average,MSH2_average,MSH3_average,MSH6_average,PARP1_average,RPA1_average,RPA2_average,RPA3_average,XRCC5_average,XRCC6_average,SSBP1_average,SPIN1_average,WDR76_average
gi|42544159|ref|NP_006635.2|,45,41.33333333,23.5,18.66666667,296,23.66666667,48.66666667,61.66666667,47,42,78,53.33333333,118.3333333,41,248.5,26.33333333,74.33333333
gi|4504511|ref|NP_001530.1|,15.33333333,13,3.5,96.33333333,47.33333333,7.666666667,36,88.33333333,33.66666667,25.66666667,156.6666667,36.33333333,62,15.66666667,6,17.33333333,248
gi|219555707|ref|NP_001137232.1|,46,29,30,8.666666667,12,29.66666667,69.66666667,46.66666667,37,1.333333333,11.33333333,55.33333333,30,16,3.5,39.66666667,16
gi|13654237|ref|NP_008835.5|,298.6666667,78.33333333,49.5,136,101,49.66666667,98.33333333,118.6666667,132.6666667,71.66666667,75,146,463.6666667,152,0,111.6666667,143.3333333
gi|156071459|ref|NP_001143.2|,10.66666667,9,1,48.33333333,9,11,40.66666667,77.33333333,6.333333333,51,85.66666667,34.66666667,88,15.33333333,0.5,6.666666667,51.33333333
gi|4503519|ref|NP_003745.1|,26.33333333,18,8,12.66666667,19.66666667,10,26,25.66666667,20.66666667,8.666666667,9,24.33333333,12.66666667,12.66666667,6,41.33333333,18.33333333
gi|34419635|ref|NP_002146.2|,23,37.33333333,19.5,40.66666667,297,1,40.33333333,63.33333333,12,6,6.333333333,10.66666667,195,4,36,4,21
gi|5032179|ref|NP_005753.1|,2933.333333,5221.666667,2591,16,163.6666667,39.33333333,25,22.33333333,49.33333333,6.333333333,5.333333333,1615,12.33333333,9,20,60,108.3333333
gi|24797086|ref|NP_002262.3|,17.33333333,16.33333333,9.5,11.66666667,25,6.666666667,16.33333333,25.66666667,28.66666667,3.333333333,1.333333333,23.66666667,13.33333333,6.333333333,4.5,21,25
gi|29788785|ref|NP_821133.1|,178.3333333,213,103.5,411.3333333,587.3333333,168.6666667,588,830.6666667,197,526,1083,491,719.6666667,361.3333333,80,169,767.6666667
gi|19923142|ref|NP_002256.2|,82,32,32,20.66666667,48.33333333,25.66666667,53.33333333,71.66666667,82.66666667,147,24.66666667,178.3333333,20,16.33333333,40.5,52,29
gi|10863945|ref|NP_066964.1|,500.6666667,10,58.5,2.666666667,27.33333333,4,15,9.666666667,397.6666667,128.6666667,81.66666667,241.6666667,582.441,2598.666667,1,51.33333333,102.6666667
gi|31621305|ref|NP_573566.2|,17,5.666666667,5.5,299.3333333,76.66666667,5.333333333,23,11,86.33333333,0.333333333,0.333333333,11,5,3.333333333,4.5,43.66666667,44.66666667
gi|35493916|ref|NP_002942.2|,17,8.333333333,4,5.666666667,15,6.666666667,34.66666667,14.33333333,34,3.333333333,0.666666667,9.333333333,8,8.333333333,0,26,3.666666667
gi|24234688|ref|NP_004125.3|,121.6666667,93.33333333,76.5,26,732.3333333,56,66.66666667,116.6666667,36.33333333,148.3333333,150,124.6666667,215,201,223.5,91,228.3333333
gi|24307939|ref|NP_036205.1|,66.33333333,87.33333333,28.5,432.3333333,606.3333333,9.333333333,42.33333333,94.66666667,88.33333333,2,15,43.66666667,17,17.33333333,14.5,118.3333333,251
gi|4502643|ref|NP_001753.1|,72,60.33333333,24.5,258.6666667,321.3333333,11.33333333,27.33333333,37,70.33333333,7,9.333333333,22,12,17.33333333,14.5,151.3333333,401.6666667
gi|18105007|ref|NP_004332.2|,41.66666667,22.66666667,7,22,25,13,31,21,32.33333333,20.33333333,52.33333333,27.33333333,25,13.66666667,5,23.66666667,47
gi|41872631|ref|NP_004095.4|,88.33333333,48.66666667,12.5,13.33333333,61.66666667,38.66666667,74,70.33333333,148.3333333,6,10.33333333,32,27.66666667,17,75,69,62.33333333
gi|51599156|ref|NP_001264.2|,148.3333333,97.66666667,17,7.666666667,16.33333333,9,14.33333333,14.33333333,17.33333333,1,0.666666667,11.66666667,3.666666667,7.666666667,3,19.33333333,14.66666667
gi|21361399|ref|NP_055040.2|,35.33333333,49,24,4.666666667,9,2,8,2,17.33333333,1.666666667,2.333333333,14,3,31.33333333,10.5,6.333333333,9
gi|148536853|ref|NP_004362.2|,24.66666667,19,8,12,21.33333333,11.66666667,26,23.33333333,33,2,2,9,7.333333333,4.333333333,0,25.33333333,24.33333333
gi|61676188|ref|NP_113584.3|,37,25.33333333,2.5,4.333333333,17,9.333333333,22,18.66666667,38,6.666666667,3.666666667,13.66666667,10.66666667,4.333333333,7,42.33333333,24
gi|4506687|ref|NP_001009.1|,26.66666667,24.33333333,32,26.33333333,0,5.333333333,19.33333333,31.33333333,34.33333333,10.66666667,1,36.33333333,7.333333333,10.33333333,0,37,64.66666667
gi|18105048|ref|NP_542160.1|,91.66666667,8.333333333,38.5,10.33333333,47,0,1.666666667,3.666666667,55.33333333,3.333333333,0,48.66666667,2.666666667,19.33333333,0,23.33333333,96.66666667
gi|4507943|ref|NP_003391.1|,26.66666667,12.66666667,3,4.666666667,19.66666667,4.666666667,13.66666667,9.666666667,44,0,11,7.666666667,3.333333333,1.666666667,0.5,21.33333333,15.33333333
gi|29570791|ref|NP_808227.1|,44,60.33333333,17,71.66666667,677,1,6.333333333,2,47.33333333,0,0,25.66666667,1,2,0.5,89.66666667,174
gi|393715091|ref|NP_001257328.1|,40.33333333,7.666666667,2.5,35.33333333,33.66666667,20.66666667,21,55.66666667,6.666666667,41.33333333,242.3333333,86.66666667,66,44.33333333,15,9,284.6666667
gi|14389309|ref|NP_116093.1|,38.66666667,63.33333333,41,170.3333333,294,81.66666667,237.3333333,473.6666667,112,410,469,222.3333333,568,226.6666667,14.5,100.3333333,251.3333333
gi|4503841|ref|NP_001460.1|,278.3333333,17,48.5,7.333333333,29,8,20.66666667,10.66666667,182,333.3333333,61,185.3333333,4369.666667,886.3511,2,40.33333333,58.66666667
gi|57863257|ref|NP_110379.2|,90.33333333,55.33333333,21,431,752,36.33333333,54.33333333,68.66666667,96.33333333,22.66666667,18.66666667,39,34.33333333,29,45,96.66666667,307.3333333
gi|31541941|ref|NP_055093.2|,14.33333333,15.66666667,11,11.33333333,192.6666667,9.333333333,24.66666667,26.33333333,32,11,45.66666667,25.66666667,48,14,103,12.66666667,42.66666667
gi|301171345|ref|NP_001180343.1|,4.666666667,1.333333333,0,20,17.66666667,4.666666667,8,34.33333333,2.666666667,36,41.66666667,16.66666667,19.33333333,2.333333333,0.5,2.333333333,0
gi|38202257|ref|NP_938148.1|,15,9,2.5,4.666666667,14.66666667,14.33333333,18.66666667,15,62.33333333,0.666666667,1.333333333,7.666666667,15,7,26,25,24.33333333
gi|29029559|ref|NP_001307.2|,30.33333333,19.66666667,3,6.333333333,26,7.333333333,23.66666667,12,56.33333333,0,4,16.66666667,7.666666667,6.333333333,15,27.33333333,18.33333333
gi|4506583|ref|NP_002936.1|,37.33333333,1.666666667,2,1.333333333,2.666666667,2.666666667,10,2,129.6666667,602.0098,2284.666667,3436.333333,28.33333333,317.6666667,10,4.666666667,6
gi|4506741|ref|NP_001002.1|,15.33333333,12.66666667,5,20.66666667,1.333333333,2.666666667,12.66666667,10,36.66666667,1.666666667,0.333333333,14.33333333,2.333333333,2.333333333,0,32.66666667,45.33333333
gi|4506725|ref|NP_000998.1|,17.66666667,16.33333333,19,28.66666667,3.333333333,5.333333333,9.333333333,9,26.66666667,1.666666667,0.666666667,3.666666667,2,5,0,10.33333333,39.66666667
gi|223890243|ref|NP_006004.2|,35.66666667,62.33333333,29.5,26,10.33333333,2,1.666666667,1.666666667,67.33333333,0.333333333,0,18.33333333,1.666666667,3.333333333,0,13.66666667,101.3333333
gi|27477041|ref|NP_036437.1|,11,8.333333333,7.5,124,98.66666667,1.333333333,6.666666667,7.666666667,8,0,0,5.666666667,1,1.333333333,0,14,19.33333333
gi|4503097|ref|NP_001887.1|,15.33333333,30,16,60.66666667,383.6666667,0.666666667,3,1,24.33333333,0,0,10.33333333,0.666666667,0,0,37,88.33333333
gi|153792590|ref|NP_001017963.2|,58.33333333,58.66666667,35.5,26.66666667,93.33333333,45.66666667,98,83.33333333,184.6666667,27,18.33333333,45.33333333,74.66666667,37,95.5,84.33333333,91
gi|4506605|ref|NP_000969.1|,59.33333333,43.33333333,35.5,240.3333333,37,5.333333333,16.66666667,24.33333333,27.66666667,18,12,26.66666667,52.33333333,10.66666667,1.5,12,317
gi|5803181|ref|NP_006810.1|,13,7.333333333,8,8,19.33333333,12.66666667,18,34,19,25.33333333,5.666666667,8,77.66666667,18.66666667,144,13.66666667,37.33333333
gi|119220557|ref|NP_001072992.1|,11,8.333333333,4.5,4,20.66666667,7.333333333,21,12.66666667,35.66666667,1.333333333,1.333333333,4.333333333,8.333333333,8,25.5,18.33333333,12.33333333
gi|62414289|ref|NP_003371.2|,15.33333333,14,4,2.333333333,12,10.66666667,19.66666667,18.33333333,37,28.33333333,1.666666667,48.33333333,8,70.66666667,15.5,33.33333333,9
gi|66392203|ref|NP_001018146.1|,10,8.666666667,3.5,4.333333333,7,7.333333333,9.666666667,5.666666667,5,0,0.333333333,5.666666667,10.33333333,6.666666667,0,12.66666667,10.66666667
gi|5031741|ref|NP_005871.1|,6.666666667,8,2.5,49,23,1.666666667,16.33333333,20.66666667,15.33333333,4.666666667,106,11.66666667,62.33333333,6.666666667,0,11,223
gi|13128860|ref|NP_004955.2|,19.66666667,14,6.5,4,11.33333333,5.333333333,6.666666667,10.66666667,8.333333333,0.666666667,1,9.333333333,4.666666667,2.333333333,2,10.33333333,10.66666667
gi|4758504|ref|NP_004484.1|,13.66666667,8,6,5.333333333,12.66666667,6.666666667,15.66666667,12,29.66666667,1.333333333,3,14.66666667,6.666666667,14.66666667,4.5,22.66666667,12.66666667
gi|20127408|ref|NP_000173.2|,12.33333333,9.666666667,3,15,8,6.333333333,14,14,52,2.333333333,6,11,7.333333333,2.333333333,1,13.66666667,13.66666667
gi|47132595|ref|NP_998776.1|,8,5.333333333,2,10,3.666666667,5,9,14.33333333,18.33333333,0.333333333,26,11.33333333,14.33333333,3.333333333,0,3.333333333,26.66666667
gi|4506587|ref|NP_002938.1|,19.33333333,4.666666667,1,0,0.666666667,0,4.333333333,0.666666667,74.33333333,964,318.0133,2119.666667,12,55,0,6,10.66666667
gi|4759146|ref|NP_004778.1|,52,72,33,21.66666667,26,0.333333333,0,0.333333333,13,0.333333333,0,16.33333333,0,0,0,5.333333333,68.66666667
gi|194248072|ref|NP_005336.3|,503.3333333,668.3333333,259.5,420.3333333,2648.333333,201.6666667,719.3333333,1164,385.6666667,946.3333333,715,642.6666667,1749.666667,631.3333333,2318,284.6666667,1185.333333
gi|14210536|ref|NP_115914.1|,3,1.666666667,1,1.666666667,2.333333333,3.666666667,12.33333333,14,7,13.33333333,9.666666667,5.666666667,19.33333333,4,0,2.333333333,17.66666667
gi|4757732|ref|NP_004199.1|,8.333333333,3.666666667,1.5,26.33333333,48.66666667,7.333333333,21.66666667,15,8.666666667,18,66,12.33333333,55,12.66666667,12,8.666666667,45.33333333
gi|4507677|ref|NP_003290.1|,24.33333333,14.33333333,4,4,21,14.33333333,28.66666667,23,71.33333333,3,1,12.66666667,9.666666667,15,42.5,31,16.66666667
gi|23510340|ref|NP_695012.1|,11,4,9.5,2.666666667,13.33333333,6.666666667,25,18.66666667,47,3.333333333,1.333333333,14.33333333,13.66666667,14,11.5,17.33333333,13.33333333
gi|23503295|ref|NP_001311.3|,20,24,25,26.66666667,151.6666667,6,10.66666667,11.66666667,30.66666667,2,0.666666667,16.33333333,4.666666667,4.666666667,0,62,137.3333333
