ROW_NAMES	CBX1_average	CBX3_average	CBX5_average	CBX7_average	CBX8_average	MSH2_average	MSH3_average	MSH6_average	PARP1_average	RPA1_average	RPA2_average	RPA3_average	XRCC5_average	XRCC6_average	SSBP1_average	SPIN1_average	WDR76_average	
gi|42544159|ref|NP_006635.2|	-33.77564	-33.07116	-18.75572	-21.32379	243.4185	-3.579072	-13.8355	-0.1565717	-30.27581	-9.109567	27.72097	-42.51014	32.80738	-16.19213	364.635	-30.2127	-21.87019	
gi|4504511|ref|NP_001530.1|	-22.67856	-20.91261	-8.239654	81.58429	-31.36394	-7.131898	-8.553602	62.27513	-21.19785	-9.270915	219.4861	-30.25566	-1.29947	-15.80454	-11.44904	-21.10082	312.1868	
gi|219555707|ref|NP_001137232.1|	11.6904	-4.980818	12.86433	-8.032881	-16.80436	31.37125	73.64926	32.73562	3.675363	-3.578869	-6.696115	12.31049	-3.369983	-5.650933	-6.34412	9.721824	-13.55934	
gi|13654237|ref|NP_008835.5|	177.5238	-55.50019	-29.74217	40.23717	-80.85933	2.10238	-12.64867	12.38022	-20.45484	-16.501	-17.3649	-49.30832	507.8066	55.88589	0	-27.95498	-26.56148	
gi|156071459|ref|NP_001143.2|	-14.22202	-13.20984	-3.098322	32.18179	-16.32583	-0.6666754	15.97863	83.56922	-11.34739	42.53683	111.876	-12.86321	73.73262	-7.999078	-1.942226	-11.09493	9.874317	
gi|4503519|ref|NP_003745.1|	4.480591	-3.147491	-3.353033	-0.9318298	-8.506401	4.438348	14.17928	14.82138	-0.1910814	-2.933962	-3.127874	-3.047355	-6.342713	-1.43111	-4.798761	31.41589	-4.354364	
gi|34419635|ref|NP_002146.2|	-22.24682	-16.70317	-10.33923	3.69289	380.2246	-2.860811	-0.710757	30.31224	-18.65906	-10.24992	-10.773	-20.82152	240.0888	-9.07089	-0.3634073	-10.30949	-23.17917	
gi|5032179|ref|NP_005753.1|	3291.678	9055.908	4146.075	-57.61593	-339.5539	-76.61044	-81.37272	-74.207	-143.0772	-27.9505	-24.70312	498.9773	-52.89093	-37.94199	-67.13732	-157.6985	-240.7236	
gi|24797086|ref|NP_002262.3|	-1.527884	-1.831235	-0.8300234	0.04788412	-0.8167561	1.321851	3.926145	18.92568	13.69908	-3.780459	-2.796235	0.1631732	-3.860523	-4.092737	-4.174054	5.099283	5.813803	
gi|29788785|ref|NP_821133.1|	-201.9867	-195.8629	-111.2214	78.67191	-147.694	9.03552	263.6494	696.8363	-191.1231	290.1832	1328.971	-165.0941	232.7906	8.036352	-114.0104	-176.9958	216.1136	
